headline	summary
«Условия такие, что практически никто не может поехать»: Чернышенко высказался о требованиях МОК к россиянам	Вице-премьер РФ Дмитрий Чернышенко считает, что из-за созданных МОК и международными федерациями условий практически никто из россиян не сможет отобраться на Олимпиаду. По его словам, там, где такая возможность остаётся, решение должны принимать ОКР и национальные комитеты. В свою очередь, экс-министр Павел Колобков заявил, что участие в ОИ «выставляется как подачка», а депутат Госдумы Светлана Журова предложила не торопиться с озвучиванием позиции России в вопросе поездки на Игры.
«Я слежу за тобой»: Овечкин оформил второй дубль подряд и поднялся на 13-е место в списке лучших бомбардиров НХЛ	Александр Овечкин оформил дубль во втором матче регулярного чемпионата НХЛ подряд и был признан третьей звездой. Форвард поднялся на 13-е место в списке лучших бомбардиров в истории, а от снайперского рекорда Уэйна Гретцки его теперь отделяет всего 49 голов. Первую шайбу он забросил в большинстве из своего «офиса», а вторую — с передачи Дилана Строума. Однако активные действия капитана не помогли  «Кэпиталз» взять верх над «Мейпл Лифс», в составе которого блистал Остон Мэттьюс.
Неожиданная развязка и крах фаворита: «Авангард» вырвал победу у «Локомотива» в овертайме, «Трактор» дожал «Динамо»	В третьем матче четвертьфинальной серии Кубка Гагарина «Локомотив» на своём льду уступил «Авангарду», накануне отправившему в отставку главного тренера Михаила Кравца. Омичи хоть и открыли счёт, большую часть времени провели в обороне и нанесли на 13 бросков в створ меньше соперника. Но в овертайме взяли верх благодаря самоотверженности Рида Буше. В свою очередь, «Трактор» неудачно начал домашнюю встречу с «Динамо», но стараниями Антона Бурдасова, Семёна Дер-Аргучинцева и Михаила Котляревского перевернул ход противостояния и одержал третью победу подряд.
Отъезд Мостового, испанский Захаряна и «глупый» ответ Карпина: сборная России завершила подготовку к матчу с Сербией	Полузащитник Андрей Мостовой из-за травмы голеностопа вернулся в расположение «Зенита» и не сможет помочь сборной России в товарищеских матчах с Сербией и Парагваем. Однако, по словам Валерия Карпина, дополнительно тренерский штаб никого вызывать не планирует, поскольку в команде достаточно футболистов на этой позиции. Кроме того, специалист объяснил, почему не пригласил в Новогорск Александра Соболева, Максима Глушенкова, Георгия Джикию и Даниила Фомина, и признался, что хотел бы продлить контракт с РФС, истекающий в августе этого года.
Триумфальные возвращения: дуэты Большунова и Степановой выиграли командные спринты на чемпионате России	Александр Большунов и Савелий Коростелёв выиграли командный спринт классическим стилем на чемпионате России в Малиновке. На последнем этапе трёхкратный олимпийский чемпион оторвался от Ермила Вокуева, выступавшего в дуэте с Ильёй Семиковым. Бронза в упорной борьбе досталась Сергею Ардашеву и Ивану Горбунову. В аналогичной дисциплине у женщин не было равных Марии Истоминой и Веронике Степановой. Последняя убежала от преследовательниц на подъёме и без нервов финишировала первой. Второй результат показали Татьяна Сорина и Елизавета Пантрина, а Дарья Непряева и Лидия Горбунова стали третьими.
Под бирюзовым флагом и без музыки Чайковского: МОК обнародовал основные правила участия россиян в парижской Олимпиаде	МОК не допустит российских и белорусских спортсменов к участию в параде во время церемонии открытия Игр в Париже, а завоёванные нейтральными атлетами награды не войдут в медальный зачёт. Также в комитете разработали флаг и гимн, которые будут использоваться во время награждения призёров соревнований. Официальный представитель МИД России Мария Захарова назвала эти условия неправомерными и несправедливыми, а президент Федерации борьбы РФ Михаил Мамиашвили заявил, что они идут вразрез с Олимпийской хартией.
Не сбавляя оборотов: Кучеров вернул себе лидерство в гонке бомбардиров НХЛ, Капризов установил рекорд «Миннесоты»	Никита Кучеров оформил хет-трик из передач и забросил шайбу в пустые ворота в очередном матче регулярного чемпионата НХЛ. Он помог «Тампе» одержать победу над действующим чемпионом «Вегасом» и вернул себе лидерство в гонке бомбардиров, опередив Натана Маккиннона на одно очко. В свою очередь, Кирилл Капризов записал себе в актив 150-й гол в карьере и установил новый рекорд «Миннесоты» во встрече с «Анахаймом», а Валерий Ничушкин сделал два ассиста и позволил «Колорадо» на выезде обыграть «Сент-Луис».
128 минут без голов и провалы в обороне: «Спартак» и СКА второй раз потерпели поражение в 1/4 финала Кубка Гагарина	«Спартак» в гостях проиграл «Металлургу» и второй матч серии 1/4 финала Кубка Гагарина. Подопечные Алексея Жамнова нанесли 33 броска в створ ворот соперника, но так и не смогли застать врасплох 20-летнего Илью Набокова, продлив безголевую серию до 128 минут 31 секунды. А хозяева отличились лишь однажды, причём в равных составах в начале третьего периода, до этого не реализовав ни одного из шести удалений москвичей. В свою очередь, СКА допустил ряд грубых ошибок и потерпел на своём льду ещё одно поражение от «Автомобилиста». Петербуржцы по разу пропустили в большинстве и меньшинстве, а их шансы на камбэк перечеркнул Арсений Коромыслов, после потери которого отличился Степан Хрипунов.
«Это всё от безысходности»: МОК призвал государства воздержаться от участия в Играх дружбы в России	МОК призвал участников олимпийского движения и государства не принимать участия в Играх дружбы, которые пройдут в России в сентябре этого года. По мнению организации, спортсмены, которые выступят на турнире, якобы могут быть использованы в рамках политической пропагандистской кампании. В оргкомитете в ответ на это в очередной раз подчеркнули исключительно коммерческий и недискриминационный характер готовящихся соревнований, а позицию МОК назвали неконструктивной. По мнению Марии Киселёвой, западные спортивные функционеры совершают подобные выпады от безысходности, а Татьяна Тарасова назвала призывы игнорировать Игры дружбы безобразием и несправедливостью.
«Он был лучшим в профессии»: скончался футбольный комментатор Василий Уткин	В Москве в возрасте 52 лет ушёл из жизни футбольный комментатор и блогер Василий Уткин. По данным СМИ, он скончался вечером 19 марта в Городской клинической больнице №1 им. Н.И. Пирогова. Предварительной причиной смерти называется тромбоэмболия лёгочной артерии. В российском медиасообществе новость об уходе легендарного журналиста вызвала шок, а соболезнования его родным и близким выразили как коллеги, так и известные тренеры и спортсмены.
«Такая работа»: «Авангард» отправил в отставку Кравца после разгромного поражения от «Локомотива» в плей-офф КХЛ	Михаил Кравец отправлен в отставку с поста главного тренера «Авангарда» после разгромного поражения от «Локомотива» в домашнем матче плей-офф КХЛ. Руководить командой в ближайших играх будет наставник вратарей Сергей Звягин. По мнению многих экспертов, решение об увольнении было принято на эмоциях и вряд ли поможет омичам спасти серию, в которой они уступают 0-2. У самого 60-летнего специалиста претензий к клубу не осталось, он попрощался с хоккеистами и пожелал им взаимопонимания и побед.
«Еду вас спасать»: Вокуев прервал победную серию Большунова, а Кулешова завоевала второе золото на чемпионате России	Александр Большунов прервал невероятную серию из 23 побед в индивидуальных гонках. В разделке на 10 км классическим стилем на чемпионате России в Малиновке из-за плохого самочувствия он финишировал только девятым. А выиграл забег опытный марафонец Ермил Вокуев, который поразил всех выбором лыж и хода в подъёмах. Вторым стал Савелий Коростелёв, всего на 0,6 секунды опередивший Алексея Червоткина. У женщин в аналогичном виде программы в отсутствие Вероники Степановой первое место уверенно заняла Анастасия Кулешова. Серебро досталось Анастасии Фалеевой, бронза — Татьяне Сориной.
«Его голы — нечто особенное»: Овечкин оформил дубль в матче с «Калгари» и сократил отставание от Гретцки до 51 шайбы	Александр Овечкин признан первой звездой матча регулярного чемпионата НХЛ с «Калгари». Форвард «Вашингтона» дважды отличился в большинстве: сначала он удачно замкнул передачу Макса Пачиоретти, а затем исполнил фирменный щелчок из своего «офиса». Таким образом, россиянин преодолел отметку 20 голов в 19-м сезоне подряд, что за всю историю лиги удавалось только Горди Хоу и Брендану Шэнахэну. А его отставание от Уэйна Гретцки в списке лучших бомбардиров сократилось до 51-й шайбы. И если нападающий будет поражать ворота соперника так же часто, как в последние два месяца, то побьёт рекорд уже в конце следующего сезона.
Условия в тюрьме Дубая, поддержка партнёров по «Спартаку» и заступничество Депая: как развивается дело Промеса	Квинси Промес в ожидании экстрадиции в Нидерланды находится в тюрьме в Дубае. Как сообщают иностранные СМИ, он живёт в камере с ещё несколькими заключёнными. Между тем сразу несколько партнёров по «Спартаку» передали нападающему слова поддержки и выразили надежду, что он как можно скорее вернётся к тренировкам. Регулярно упоминает друга в соцсетях и форвард «Атлетико» Мемфис Депай. Его поведение даже вызвало недовольство главного тренера сборной Нидерландов Рональда Кумана. По мнению юристов, рассмотрение вопроса о передаче атлета на родину может занять до полугода.
Жуткий разгром и невероятная концовка: «Локомотив» и «Трактор» одержали вторые победы в четвертьфинале Кубка Гагарина	«Локомотив» разгромил «Авангард» во втором четвертьфинальном матче Кубка Гагарина. Ярославцы забросили в гостях семь безответных шайб в ворота соперника. При этом Степан Никулин дважды огорчил Павла Хомченко, Артур Каюмов оформил хет-трик из передач, а Даниил Исаев записал себе в актив первый сухарь. В другом матче дня «Динамо» вновь уступило «Трактору» в родных стенах, хотя в заключительном отрезке отыгралось со счёта 2:4, а Никита Гусев оформил дубль. Судьбу же противостояния в овертайме решило добивание Александра Шарова лёжа.
Споры о «Русском вызове», баклан Мишиной и Галлямова и рекорд Лазарева: что обсуждают в мире фигурного катания	Турнир шоу-программ «Русский вызов» стал главной темой обсуждения в мире российского фигурного катания на прошедшей неделе. Марк Кондратюк отметил, что сложные для понимания номера, как у Петра Гуменника, были недооценены, а Екатерина Боброва предложила рассматривать постановки Алексея Ягудина и других ветеранов вне конкурса. Тем временем Лев Лазарев установил рекорд страны по оценке за техническую сложность программы, Елена Костылева начала тренироваться у Евгения Плющенко, а Анастасия Мишина и Александр Галлямов взяли под опеку баклана.
В пятый раз подряд: Медведев проиграл Алькарасу в финале «Мастерса» в Индиан-Уэллсе	Даниил Медведев не сумел завоевать 21-й титул в карьере. В финале турнира серии «Мастерс» в Индиан-Уэллсе он в двух сетах уступил второй ракетке мира Карлосу Алькарасу, хотя вёл в первой партии 3:0 с брейком. Год назад он также проиграл испанцу в решающем матче за трофей. Более того, для четвёртой ракетки мира это уже пятое поражение подряд в финалах различных турниров. Его последняя победа датирована маем прошлого года.
«Запредельный цинизм»: как в России отреагировали на предложение Макрона прекратить огонь на время Олимпиады	Президент Франции Эммануэль Макрон заявил, что предложит прекратить огонь на Украине на время проведения Олимпийских игр в Париже. Владимир Путин, комментируя слова французского коллеги, отметил, что ему неизвестно о таком предложении, но заявил о готовности России «рассмотреть любые вопросы», если они будут отвечать интересам РФ. Официальный представитель МИД РФ Мария Захарова посоветовала Макрону сначала завершить поставки вооружений и спонсирование терроризма. В Госдуме слова руководителя Франции назвали обыкновенным популизмом.
Четыре золота Мельниковой, хитрость Нагорного и борьба Маринова с Далалояном: чем запомнился ЧР по спортивной гимнастике	Ангелина Мельникова завоевала четыре золотые медали на чемпионате России по спортивной гимнастике. Она не победила только на разновысоких брусьях. В этом виде программы первое место заняла 16-летняя Людмила Рощина, которая без ошибок исполнила очень сложную комбинацию и победила с приличным отрывом. У мужчин в многоборье упорная борьба развернулась между Артуром Далалояном и Даниелом Мариновым. Олимпийскому чемпиону не хватило концентрации на последнем снаряде: он сорвался с перекладины и в итоге занял второе место. При этом в индивидуальных видах два золота и серебро завоевал Никита Нагорный.
Не день столиц: «Металлург» разгромил «Спартак» в четвертьфинале Кубка Гагарина, СКА уступил «Автомобилисту»	«Металлург» разгромил «Спартак» в первом матче четвертьфинальной серии Кубка Гагарина. Магнитогорцы забросили в ворота москвичей четыре безответные шайбы, а Илья Набоков отразил все 34 броска по своим и оформил дебютный шатаут в плей-офф КХЛ. В другом матче дня «Автомобилист» на выезде неожиданно сломил сопротивление СКА. Команда Романа Ротенберга в отсутствие одного из лидеров, Александра Никишина, нашла в себе силы отыграться со счёта 0:2, но почти сразу же пропустила контратаку, которую точным броском увенчал Денис Баранцев. При этом голкипер гостей Евгений Аликин записал себе в актив 30 сейвов, а нападающий Алексей Макеев поучаствовал в двух голевых комбинациях.
«Даже на солнце бывают пятна»: гимнастка Крамаренко завоевала четыре медали из шести на Гран-при Москвы	Лала Крамаренко завоевала четыре золотые медали на международном турнире Гран-при Москвы по художественной гимнастике. Она допустила две потери в пяти видах в многоборье, тем не менее удержала первую позицию. При этом уже в воскресенье спортсменка порадовала болельщиков безупречным исполнением композиций с мячом, обручем и без предмета. В булавах первой стала Мария Борисова, которая сумела реабилитироваться за неудачу на чемпионате России. А ленту выиграла Арина Ткачук. В данном виде программы Крамаренко в финал отобраться не смогла, однако ярко выступила вне конкурса.
На фоне провала Степановой: Большунов и Кулешова выиграли скиатлон на чемпионате России	Александр Большунов одержал 23-ю победу подряд в личных гонках нынешнего сезона. Трёхкратный олимпийский чемпион первенствовал в скиатлоне на чемпионате России в Малиновке, отразив атаку Алексея Червоткина на финишной прямой. Бронза же досталась Сергею Ардашеву. У женщин в аналогичной дисциплине золото завоевала Анастасия Кулешова, которая опередила Алину Пеклецову и Лидию Горбунову. Фаворит соревнований Вероника Степанова финишировала только 18-й.
Вехи истории: Панарин набрал пять очков и установил рекорд «Рейнджерс», Овечкин забросил 127-ю победную шайбу в НХЛ	Артемий Панарин оформил дубль и отдал три результативные передачи в матче регулярного чемпионата НХЛ с «Питтсбургом». В активе нападающего «Рейнджерс» стало 93 очка, благодаря чему он установил новое клубное достижение: ранее ни одному хоккеисту франшизы не удавалось преодолевать эту планку в четырёх сезонах и при этом трижды подряд. В свою очередь, Александр Овечкин забросил 127-ю победную шайбу в карьере во встрече с «Ванкувером». Никита Кучеров отметился голом и результативной передачей, а Андрей Василевский отразил 47 бросков по воротам в игре «Тампы» с «Флоридой». Кирилл Капризов набрал два очка и помог «Миннесоте» перевести выяснение отношений с «Сент-Луисом» в овертайм, но его команда всё-таки уступила в серии буллитов.
Заявление МОК, опасения Позднякова и позиция Матыцина: как развивается ситуация с допуском россиян к Играм в Париже	МОК пообещал принять окончательное решение по критериям допуска российских спортсменов на Олимпийские игры в Париже на ближайшем заседании исполкома. При этом в организации не намерены вносить изменения в условия, опубликованные в декабре 2023 года. Президент ОКР Станислав Поздняков выразил уверенность, что одним из них станет подписание документов с осуждением проведения СВО. А министр спорта РФ Олег Матыцин призвал дождаться вынесения вердикта и только после этого согласовывать ответную позицию.
В гостях как дома: «Локомотив» и «Трактор» одержали выездные победы в первых четвертьфинальных матчах Кубка Гагарина	«Локомотив» и «Трактор» одержали выездные победы над «Авангардом» и «Динамо» в стартовых матчах четвертьфинальных серий Кубка Гагарина. При этом обе команды пропустили первыми, но проявили характер. Железнодорожники нанесли 53 броска по воротам Павла Хомченко и взяли верх благодаря голу Максима Берёзкина во втором овертайме. Челябинцы ещё до перерыва отличились трижды за 207 секунд, а Максим Шабанов отдал две результативные передачи. Зак Фукале совершил 35 сейвов.
Превозмогая болезнь: Большунов одержал 22-ю победу подряд в сезоне, Степанова завоевала первое золото чемпионата России	Александр Большунов с победы начал выступление на чемпионате России по лыжным гонкам в Малиновке. Перед началом соревнований спортсмен испытывал проблемы со здоровьем и мог пропустить несколько гонок, но по совету семьи вышел на дистанцию и взял верх в спринте свободным стилем, опередив Ивана Горбунова и Сергея Устюгова. В свою очередь, у женщин победила Вероника Степанова, для которой это золото стало первым на первенстве страны. Серебро и бронза достались Елизавете Пантриной и Татьяне Сориной соответственно, а главной сенсацией стал вылет Анастасии Фалеевой по итогам квалификации.
Вызов Лодыгина, слухи о визите Джоковича и презентация новой формы: как сборная России готовится к товарищеским матчам	Сборная России по футболу начала подготовку к товарищеским матчам с Сербией и Парагваем. В окончательный состав попали 28 футболистов, в том числе легионеры: Арсен Захарян, Алексей Миранчук и Александр Головин. Также в последний момент в качестве четвёртого вратаря был вызван восемь лет не получавший приглашений в национальную команду Юрий Лодыгин. Противостояние с латиноамериканцами будет посвящено Дню космонавтики, при этом обе игры хозяева проведут в новой форме, выполненной по мотивам народных сказок.
Испытание Голдобина, дуэль Кравеца с Никитиным и травмы Никишина и Гусева: главные интриги 1/4 финала Кубка Гагарина	Сможет ли самое результативное звено регулярки взломать оборону «Локомотива», а «Авангард» избежать участи ЦСКА? Сколько очков наберёт Николай Голдобин в противостоянии с бывшей командой и по силам ли «Спартаку» досрочно отправить «Металлург» на каникулы? Как повлияют травмы Александра Никишина и Никиты Гусева на СКА и «Динамо»? Главные интриги второго раунда плей-офф КХЛ — в материале RT.
«Ничего не имею против Хольгера»: Медведев повздорил с Руне, но вышел в полуфинал «Мастерса» в Индиан-Уэллсе	Даниил Медведев — единственный из россиян, кто продолжает бороться за победу на турнире серии «Мастерс» в Индиан-Уэллсе. В четвертьфинале он одержал уверенную победу над Хольгером Руне в двух сетах, несмотря на конфликтную ситуацию в начале второй партии. Во время одного из розыгрышей датчанин попал мячом в тело четвёртой ракетки мира, что вызвало его негодование. Лишь после вмешательства судьи инцидент был исчерпан и игроки пожали друг другу руки. Соперником уроженца Москвы по полуфиналу станет американец Томми Пол. В женской сетке украинка Марта Костюк последовательно выбила сразу двух Анастасий — Павлюченкову и Потапову, а Дарья Касаткина уступила 49-й ракетке мира из Китая Юань Юэ.
«Цифра 50 в голове не укладывается»: Саутин — о знаковом юбилее, характере Стародубцевой и драке в 1991-м	Сожалений о том, что всю сознательную жизнь пришлось посвятить спорту, нет: все травмы, операции, усилия и жертвы стоили тех успехов, которых удалось достичь. Об этом в интервью RT заявил легендарный прыгун в воду Дмитрий Саутин, празднующий 15 марта 50-летие. По признанию двукратного олимпийского чемпиона, он многим обязан своему наставнику Татьяне Стародубцевой и сожалеет, что не так часто общался с ней за пределами бассейна. Он также вспомнил о драке с ножевыми ранениями в 1991-м и конфликте с Александром Доброскоком после Игр в Афинах.
Дебютный гол Кузнецова, пять очков Кучерова и рекордная победа Самсонова: россияне не сбавляют оборотов в регулярке НХЛ	Никита Кучеров записал на свой счёт гол и четыре ассиста в матче регулярного чемпионата НХЛ и сократил отставание от Натана Маккиннона в гонке бомбардиров до трёх очков. Евгений Кузнецов забросил дебютную шайбу за «Каролину» и был признан первой звездой встречи с «Флоридой». Илья Самсонов в игре с «Филадельфией» повторил рекорд «Торонто» по количеству выездных побед подряд, а также отметился результативной передачей. Илья Сорокин тем временем первым из вратарей преодолел отметку 1400 сейвов за сезон. Евгений Малкин и Кирилл Капризов отличились по разу и помогли «Питтсбургу» и «Миннесоте» одержать победы над «Сан-Хосе» и «Анахаймом» соответственно.
Невероятная развязка: «Карабах» пропустил два мяча от «Байера» в компенсированное время и вылетел из Лиги Европы	«Карабах» упустил победу над «Байером» в ответном матче 1/8 финала Лиги Европы, позволив Патрику Шику отличиться на 93-й и 98-й минутах, и завершил выступление в еврокубках, а «Аталанта» обыграла «Спортинг» благодаря результативной передаче Алексея Миранчука. «Ливерпуль» забил шесть мячей в ворота «Спарты», а «Вест Хэм» пять раз огорчил «Фрайбург». «Милан» оказался сильнее «Славии», проведя в большинстве больше часа, а «Фиорентина» с трудом прошла «Маккаби» из Хайфы в Лиге конференций.
Драмы в столице: «Спартак» отыгрался (0:2) и одолел «Оренбург», «Локомотив» упустил победу после промаха Дзюбы	«Спартак» одержал волевую победу над «Оренбургом» и пробился в полуфинал Пути РПЛ Кубка России. В дебюте москвичи позволили Мохаммаду Горбани забить курьёзный мяч, однако ответили на него тремя своими. Причём Антон Зиньковский и Срджан Бабич отличились с интервалом в две минуты. В другом матче «Локомотив» быстро огорчил «Балтику», но соперник отыгрался после перерыва. В серии пенальти Артём Дзюба мог поставить точку пятым ударом, но попал в перекладину. А «Сочи» также в «лотерее» уступил «СКА-Хабаровску» из Первой лиги и завершил выступление в турнире.
«Исход процедуры экстрадиции предсказать невозможно»: Промес арестован в Дубае по требованию Нидерландов	Квинси Промес был арестован в Объединённых Арабских Эмиратах по требованию прокуратуры Нидерландов. На родине добиваются экстрадиции полузащитника «Спартака» в связи с постановлениями суда. Решение будет принимать независимый судья в Дубае, заявили адвокаты. По их словам, процесс может затянуться на длительное время. По информации источников, легионер сам настаивал на участии в сборах в ОАЭ и уверял, что у него «всё схвачено».
«Выигрывал столько, сколько хотел»: Бородавко — о серии Большунова, болезни перед ЧР и дуэли с Клебо	Во время дистанционных гонок всегда есть время исправить ту или иную ошибку, а вот в спринте такой возможности может не представиться. Об этом в беседе с RT рассказал тренер по лыжным гонкам Юрий Бородавко. По его словам, именно короткая дистанция заходит Александру Большунову тяжелее, но хорошо тренированный навык быстрого включения мышц даёт преимущество. Специалист также объяснил, зачем подопечный принял участие в Дёминском марафоне, высказался о его победной серии и ответил на вопрос, реально ли организовать противостояние лидера сборной с Клебо.
В тени гола Ничушкина визором и хет-трика Хоу от Задорова: Овечкин вышел на 14-е место в списке лучших бомбардиров НХЛ	Валерий Ничушкин забросил в третьем матче регулярного чемпионата НХЛ подряд и принёс «Колорадо» победу над «Ванкувером». При этом защитник «Кэнакс» Никита Задоров по ходу встречи оформил хет-трик Горди Хоу, успев за первые 25 минут отдать передачу, забить гол и подраться с Джошем Мэнсоном. Александр Овечкин вышел на 14-е место в списке лучших бомбардиров в истории лиги, однако его ассист не помог «Вашингтону» избежать разгрома во встрече с «Эдмонтоном».
Чудо-выход Депая, сейвы Облака и блицкриг Санчо: «Атлетико» в серии пенальти победил «Интер», «Боруссия» выбила ПСВ	«Атлетико» на своём поле одержал победу над «Интером» и пробился в четвертьфинал Лиги чемпионов. На гол Федерико Димарко мадридцы ответили точными ударами Антуана Гризманна и Мемфиса Депая, причём последний сравнял счёт в двухматчевом противостоянии лишь в концовке. А в серии пенальти мадридцы сломили сопротивление миланцев благодаря двум сейвам Яна Облака. В параллельной встрече дортмундская «Боруссия» дома взяла верх над ПСВ. На третьей минуте Джейдон Санчо вывел хозяев вперёд, а на пятой компенсированной точку поставил Марко Ройс.
Угнать за восемь минут: дубль Кассьерры помог «Зениту» выбить «Динамо» из Пути РПЛ Кубка России	«Зенит» на своём поле взял верх над «Динамо» и пробился в полуфинал Пути РПЛ Кубка России по футболу. Подопечные Сергея Семака реабилитировались за поражение в ноябре и победили по сумме двух встреч. Главным героем ответной игры стал Матео Кассьерра, оформивший дубль к 21-й минуте. В свою очередь, «Урал» в серии пенальти сломил сопротивление «Родины», а гол Владимира Ильина помог «Ахмату» в гостях одолеть «Волгарь» и выйти во вторую стадию 1/4 финала Пути регионов.
